_time,_value,instance_id
20/03/2024 23:40,5.261077935,ec2-43394
20/03/2024 23:45,5.30725279,ec2-43395
20/03/2024 23:50,5.256797555,ec2-43396
20/03/2024 23:55,5.350050842,ec2-43397
21/03/2024 0:00,5.367165473,ec2-43398
21/03/2024 0:05,5.246634418,ec2-43399
21/03/2024 0:10,5.312265469,ec2-43400
21/03/2024 0:15,5.353982814,ec2-43401
21/03/2024 0:20,5.216679526,ec2-43402
21/03/2024 0:25,5.318312274,ec2-43403
21/03/2024 0:30,5.263305941,ec2-43404
21/03/2024 0:35,5.187140701,ec2-43405
21/03/2024 0:40,5.281222655,ec2-43406
21/03/2024 0:45,5.314396722,ec2-43407
21/03/2024 0:50,5.399430493,ec2-43408
21/03/2024 0:55,5.282346558,ec2-43409
21/03/2024 1:00,5.291096534,ec2-43410
21/03/2024 1:05,5.538337664,ec2-43411
21/03/2024 1:10,5.324981073,ec2-43412
21/03/2024 1:15,5.312098561,ec2-43413
21/03/2024 1:20,5.280189931,ec2-43414
21/03/2024 1:25,5.238706762,ec2-43415
21/03/2024 1:30,5.38336258,ec2-43416
21/03/2024 1:35,5.349392438,ec2-43417
21/03/2024 1:40,5.174604936,ec2-43418
21/03/2024 1:45,5.230020505,ec2-43419
21/03/2024 1:50,5.320316076,ec2-43420
21/03/2024 1:55,5.19127888,ec2-43421
21/03/2024 2:00,5.338215321,ec2-43422
21/03/2024 2:05,5.216680941,ec2-43423
21/03/2024 2:10,5.211005021,ec2-43424
21/03/2024 2:15,5.320715885,ec2-43425
21/03/2024 2:20,5.359426237,ec2-43426
21/03/2024 2:25,5.218746558,ec2-43427
21/03/2024 2:30,5.350266492,ec2-43428
21/03/2024 2:35,5.293353453,ec2-43429
21/03/2024 2:40,5.228143289,ec2-43430
21/03/2024 2:45,5.261847127,ec2-43431
21/03/2024 2:50,5.288779921,ec2-43432
21/03/2024 2:55,5.249663173,ec2-43433
21/03/2024 3:00,5.366197228,ec2-43434
21/03/2024 3:05,5.352721931,ec2-43435
21/03/2024 3:10,5.27881794,ec2-43436
21/03/2024 3:15,5.203843987,ec2-43437
21/03/2024 3:20,5.248328986,ec2-43438
21/03/2024 3:25,5.281810029,ec2-43439
21/03/2024 3:30,5.273248834,ec2-43440
21/03/2024 3:35,5.317079125,ec2-43441
21/03/2024 3:40,5.280717521,ec2-43442
21/03/2024 3:45,5.200443645,ec2-43443
21/03/2024 3:50,5.246089224,ec2-43444
21/03/2024 3:55,5.240683205,ec2-43445
21/03/2024 4:00,5.400555711,ec2-43446
21/03/2024 4:05,5.286047219,ec2-43447
21/03/2024 4:10,5.155832183,ec2-43448
21/03/2024 4:15,5.359633354,ec2-43449
21/03/2024 4:20,5.277768085,ec2-43450
21/03/2024 4:25,5.248330043,ec2-43451
21/03/2024 4:30,5.311138071,ec2-43452
21/03/2024 4:35,5.192916672,ec2-43453
21/03/2024 4:40,5.316084387,
21/03/2024 4:45,5.341620705,
21/03/2024 4:50,5.207195547,
21/03/2024 4:55,5.222743356,
21/03/2024 5:00,5.340697926,
21/03/2024 5:05,5.266605036,
21/03/2024 5:10,5.257953659,
21/03/2024 5:15,5.312758889,
21/03/2024 5:20,5.157807608,
21/03/2024 5:25,5.330599454,
21/03/2024 5:30,5.343732429,
21/03/2024 5:35,5.292318213,
21/03/2024 5:40,5.32377057,
21/03/2024 5:45,5.317976622,
21/03/2024 5:50,5.218238484,
21/03/2024 5:55,5.285646478,
21/03/2024 6:00,5.249388021,
21/03/2024 6:05,5.244285993,
21/03/2024 6:10,5.281784564,
21/03/2024 6:15,5.311054645,
21/03/2024 6:20,5.329556795,
21/03/2024 6:25,5.26880505,
21/03/2024 6:30,5.217015958,
21/03/2024 6:35,5.23419098,
21/03/2024 6:40,5.484316672,
21/03/2024 6:45,5.263430206,
21/03/2024 6:50,5.302831531,
21/03/2024 6:55,5.558246377,
21/03/2024 7:00,5.704535971,
21/03/2024 7:05,5.646032383,
21/03/2024 7:10,5.413320265,
21/03/2024 7:15,4.412842111,
21/03/2024 7:20,4.409592309,
21/03/2024 7:25,4.330291389,
21/03/2024 7:30,4.270000535,
21/03/2024 7:35,4.521557364,
21/03/2024 7:40,4.554603888,
21/03/2024 7:45,4.383356944,
21/03/2024 7:50,4.334263942,
21/03/2024 7:55,4.630098699,
21/03/2024 8:00,4.582376632,
21/03/2024 8:05,4.496698901,
21/03/2024 8:10,4.859989315,
21/03/2024 8:15,4.318761314,
21/03/2024 8:20,4.544463608,
21/03/2024 8:25,4.443448589,
21/03/2024 8:30,4.457246904,
21/03/2024 8:35,4.352691367,
21/03/2024 8:40,4.47762675,
21/03/2024 8:45,4.57801874,
21/03/2024 8:50,4.503986933,
21/03/2024 8:55,4.396048954,
21/03/2024 9:00,4.442209906,
21/03/2024 9:05,4.429461777,
21/03/2024 9:10,4.377236424,
21/03/2024 9:15,4.439771601,
21/03/2024 9:20,4.396268201,
21/03/2024 9:25,4.366862272,
21/03/2024 9:30,4.513184515,
21/03/2024 9:35,4.309012341,
21/03/2024 9:40,4.321427969,
21/03/2024 9:45,4.403365563,
21/03/2024 9:50,4.409917346,
21/03/2024 9:55,4.377290296,
21/03/2024 10:00,4.456518002,
